OUTLETID,BUSNAME,ADDR1,CITY,STATE,ZIP,COLLECTIONHOURS1,COLLECTIONHOURS2,COLLECTIONHOURS3,COLLECTIONHOURS4,COLLECTIONHOURS5,COLLECTIONHOURS6,COLLECTIONHOURS7,LATITUDE,LONGITUDE
0763100010,USPS COLLECTION BOX - BLUE BOX,2 N VAN BRUNT ST,ENGLEWOOD,NJ,07631,MO 11:30 AM,TU 11:30 AM,WE 11:30 AM,TH 11:30 AM,FR 11:30 AM,SA 11:30 AM,,40.8944810836,-73.9752687752
0763100075,USPS COLLECTION BOX - BLUE BOX,18 E PALISADE AVE,ENGLEWOOD,NJ,07631,MO 11:00 AM,TU 11:00 AM,WE 11:00 AM,TH 11:00 AM,FR 11:00 AM,SA 11:00 AM,,40.893525,-73.9746225
0763100059,USPS COLLECTION BOX - BLUE BOX,201 S DEAN ST,ENGLEWOOD,NJ,07631,MO 01:00 PM,TU 01:00 PM,WE 01:00 PM,TH 01:00 PM,FR 01:00 PM,SA 01:00 PM,,40.8874659678,-73.9787898621
0766600022,USPS COLLECTION BOX - BLUE BOX,467 CEDAR LN # 2,TEANECK,NJ,07666,MO 11:00 AM,TU 11:00 AM,WE 11:00 AM,TH 11:00 AM,FR 11:00 AM,SA 11:00 AM,,40.8892312451,-74.0222443972
0763100086,USPS COLLECTION BOX - BLUE BOX,25 ROCKWOOD PLACE,ENGLEWOOD,NJ,07631,MO 10:00 AM,TU 10:00 AM,WE 10:00 AM,TH 10:00 AM,FR 10:00 AM,SA 10:00 AM,,40.879629,-73.9830915
0760300019,USPS COLLECTION BOX - BLUE BOX,262 PALISADE AVE,BOGOTA,NJ,07603,MO 01:00 PM,TU 01:00 PM,WE 01:00 PM,TH 01:00 PM,FR 01:00 PM,SA 12:00 PM,,40.875057,-74.026035
9818802172,USPS COLLECTION BOX - BLUE BOX,575 CORPORATE DR S,TUKWILA,WA,98188,MO 10:00 AM,TU 10:00 AM,WE 10:00 AM,TH 10:00 AM,FR 10:00 AM,SA 10:00 AM,,47.4492731639,-122.2546106221
9818802160,USPS COLLECTION BOX - BLUE BOX,436 MINKLER BLVD,TUKWILA,WA,98188,MO 10:00 AM,TU 10:00 AM,WE 10:00 AM,TH 10:00 AM,FR 10:00 AM,SA 10:00 AM,,47.4487777256,-122.2531381911
9810800718,USPS COLLECTION BOX - BLUE BOX,9627 DES MOINES MEMORIAL DR,SEATTLE,WA,98108,MO 10:45 AM,TU 10:45 AM,WE 10:45 AM,TH 10:45 AM,FR 10:45 AM,SA 10:30 AM,,47.515967142,-122.314552542
9800600006,USPS COLLECTION BOX - BLUE BOX,3550 FACTORIA BLVD SE,BELLEVUE,WA,98006,MO 03:00 PM,TU 03:00 PM,WE 03:00 PM,TH 03:00 PM,FR 03:00 PM,SA 11:30 AM,,47.578671,-122.1671835
