OUTLETID,BUSNAME,ADDR1,ADDR2,CITY,STATE,ZIP,ZIP4,PHONE,FAX,TOLLFREE,CATEGORYID,HOURS1,HOURS2,HOURS3,HOURS4,HOURS5,HOURS6,HOURS7,REGULARHOURSDESCRIPTION,COLLECTIONHOURS1,COLLECTIONHOURS2,COLLECTIONHOURS3,COLLECTIONHOURS4,COLLECTIONHOURS5,COLLECTIONHOURS6,COLLECTIONHOURS7,COLLECTIONHOURSDESCRIPTION,SPECIALHOURS1,SPECIALHOURS2,SPECIALHOURS3,SPECIALHOURS4,SPECIALHOURS5,SPECIALHOURS6,SPECIALHOURS7,SPECIALHOURSDESCRIPTION,MISCELLANEOUSSPECIALHOURS1,MISCELLANEOUSSPECIALHOURS2,MISCELLANEOUSSPECIALHOURS3,MISCELLANEOUSSPECIALHOURS4,MISCELLANEOUSSPECIALHOURS5,MISCELLANEOUSSPECIALHOURS6,MISCELLANEOUSSPECIALHOURS7,MISCSPECIALHOURSDESCRIPTION,DONTSHOWLOCALNUMBER,SPECIALMESSAGETEXT,SHOWNOTICE,LATITUDE,LONGITUDE
64700001,USPS COLLECTION BOX - BLUE BOX,6 CALLE SEGUNDA SUR,NULL,ENSENADA,PR,647,NULL,NULL,NULL,NULL,3064,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MO 03:00PM,TU 03:00PM,WE 03:00PM,TH 03:00PM,FR 03:00PM,SA 08:30AM,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,NULL,NULL,"ON 12/24 AND 12/31, THIS BOX MAY BE COLLECTED AS EARLY AS 12 NOON.",Y,17.96564,-66.94029998
64700003,USPS COLLECTION BOX - PO LOBBY,6 CALLE SEGUNDA SUR,NULL,ENSENADA,PR,647,NULL,NULL,NULL,NULL,3064,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MO 03:00PM,TU 03:00PM,WE 03:00PM,TH 03:00PM,FR 03:00PM,SA 08:30AM,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,NULL,NULL,"ON 12/24 AND 12/31, THIS BOX MAY BE COLLECTED AS EARLY AS 12 NOON.",Y,17.96564,-66.94029998
64700004,USPS COLLECTION BOX - PO LOBBY,6 CALLE SEGUNDA SUR,NULL,ENSENADA,PR,647,NULL,NULL,NULL,NULL,3064,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MO 04:15PM,TU 04:15PM,WE 04:15PM,TH 04:15PM,FR 04:15PM,SA 12:15PM,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,NULL,NULL,"ON 12/24 AND 12/31, THIS BOX MAY BE COLLECTED AS EARLY AS 12 NOON.",Y,17.97300019,-66.9321806
78400011,USPS COLLECTION BOX - BLUE BOX,6 CALLE DERKES E,NULL,GUAYAMA,PR,784,NULL,NULL,NULL,NULL,3064,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MO 08:00AM,TU 08:00AM,WE 08:00AM,TH 08:00AM,FR 08:00AM,SA 08:00AM,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,NULL,NULL,,N,17.984693,-66.1135129
92100005,USPS COLLECTION BOX - BLUE BOX,1304 AVE AMERICO MIRANDA,NULL,SAN JUAN,PR,921,NULL,NULL,NULL,NULL,3064,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MO 02:30PM,TU 02:30PM,WE 02:30PM,TH 02:30PM,FR 02:30PM,SA 01:30PM,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,NULL,NULL,"ON 12/24 AND 12/31, THIS BOX MAY BE COLLECTED AS EARLY AS 12 NOON.",Y,18.39882617,-66.08589796
97900021,USPS COLLECTION BOX - BLUE BOX,71 CALLE LUNA,NULL,CAROLINA,PR,979,NULL,NULL,NULL,NULL,3064,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MO 09:00AM,TU 09:00AM,WE 09:00AM,TH 09:00AM,FR 09:00AM,SA 09:00AM,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,NULL,NULL,,N,18.428901,-66.0037606
104000055,USPS COLLECTION BOX - BLUE BOX,110 CHERRY ST,NULL,HOLYOKE,MA,1040,NULL,NULL,NULL,NULL,3064,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MO 02:00PM,TU 02:00PM,WE 02:00PM,TH 02:00PM,FR 02:00PM,SA 10:00AM,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,NULL,NULL,"ON 12/24 AND 12/31, THIS BOX MAY BE COLLECTED AS EARLY AS 12 NOON.",Y,42.201031,-72.64121
105700009,USPS COLLECTION BOX - BLUE BOX,128 MAIN ST,NULL,MONSON,MA,1057,NULL,NULL,NULL,NULL,3064,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MO 09:00AM,TU 09:00AM,WE 09:00AM,TH 09:00AM,FR 09:00AM,SA 09:00AM,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,NULL,NULL,,N,42.098925,-72.3149744
108500022,USPS COLLECTION BOX - BLUE BOX,349 E MOUNTAIN RD,NULL,WESTFIELD,MA,1085,NULL,NULL,NULL,NULL,3064,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MO 10:00AM,TU 10:00AM,WE 10:00AM,TH 10:00AM,FR 10:00AM,SA 10:00AM,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,NULL,NULL,,N,42.11929107,-72.69957413
110300056,USPS COLLECTION BOX - BLUE BOX,55 FRANK B MURRAY ST,NULL,SPRINGFIELD,MA,1103,NULL,NULL,NULL,NULL,3064,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MO 09:00AM,TU 09:00AM,WE 09:00AM,TH 09:00AM,FR 09:00AM,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,NULL,NULL,,N,42.108901,-72.5919705
